ticker,firm,county_fips,county_name,state,lat,lon
MMM,3M,1077,Metcalfe,Kentucky,44.9497487,-93.0931028
AOS,A. O. Smith,1077,Metcalfe,Kentucky,43.0386475,-87.9090751
ABT,Abbott Laboratories,1077,Metcalfe,Kentucky,42.327724,-87.8394189
ABBV,AbbVie,1077,Metcalfe,Kentucky,42.327724,-87.8394189
ACN,Accenture,1077,Metcalfe,Kentucky,38.4168505,-86.9969385
ADBE,Adobe Inc.,2016,Lamoure,North Dakota,37.3361663,-121.890591
AMD,Advanced Micro Devices,2016,Lamoure,North Dakota,37.3541132,-121.955174
AES,AES Corporation,1019,Clinton,Kentucky,38.8769326,-77.0893094
AFL,Aflac,1113,Acadia,Louisiana,32.4610708,-84.9880449
A,Agilent Technologies,2016,Lamoure,North Dakota,37.3541132,-121.955174
APD,Air Products,1019,Clinton,Kentucky,40.5735876,-75.614631
ABNB,Airbnb,2016,Lamoure,North Dakota,37.7932754,-122.3963589
AKAM,Akamai Technologies,1019,Clinton,Kentucky,42.3656347,-71.1040018
ALB,Albemarle Corporation,1019,Clinton,Kentucky,35.2272086,-80.8430827
ARE,Alexandria Real Estate Equities,2016,Lamoure,North Dakota,34.1476507,-118.144155
ALGN,Align Technology,2016,Lamoure,North Dakota,33.4255117,-111.940016
ALLE,Allegion,1077,Metcalfe,Kentucky,38.4168505,-86.9969385
LNT,Alliant Energy,1077,Metcalfe,Kentucky,43.07469,-89.3841663
ALL,Allstate,1077,Metcalfe,Kentucky,42.128704,-87.8265089
GOOGL,Alphabet Inc. (Class A),2016,Lamoure,North Dakota,37.3893889,-122.0832101
GOOG,Alphabet Inc. (Class C),2016,Lamoure,North Dakota,37.3893889,-122.0832101
MO,Altria,1019,Clinton,Kentucky,37.5385087,-77.43428
AMZN,Amazon,2130,Warren,Ohio,47.6038321,-122.330062
AEE,Ameren,1077,Metcalfe,Kentucky,38.6280278,-90.1910154
AEP,American Electric Power,1071,McCracken,Kentucky,39.9622601,-83.0007065
AXP,American Express,1019,Clinton,Kentucky,40.7127281,-74.0060152
AIG,American International Group,1019,Clinton,Kentucky,40.7127281,-74.0060152
AMT,American Tower,1019,Clinton,Kentucky,42.3554334,-71.060511
AWK,American Water Works,1019,Clinton,Kentucky,39.9448402,-75.1198911
AMP,Ameriprise Financial,1077,Metcalfe,Kentucky,44.9772995,-93.2654692
