ticker,firm,state,hq_lat,hq_lon,state_name,state_code,county_name,county_fips
MMM,3M,MN,44.9497487,-93.0931028,Minnesota,MN,Ramsey County,27123
AOS,A. O. Smith,WI,43.0386475,-87.9090751,Wisconsin,WI,Milwaukee County,55079
ABT,Abbott Laboratories,WI,42.327724,-87.8394189,Illinois,IL,Lake County,17097
ABBV,AbbVie,WI,42.327724,-87.8394189,Illinois,IL,Lake County,17097
ACN,Accenture,KY,38.4168505,-86.9969385,Indiana,IN,Dubois County,18037
ADBE,Adobe Inc.,CA,37.3361663,-121.890591,California,CA,Santa Clara County,06085
AMD,Advanced Micro Devices,CA,37.3541132,-121.955174,California,CA,Santa Clara County,06085
AES,AES Corporation,DC,38.8769326,-77.0893094,Virginia,VA,Arlington County,51013
AFL,Aflac,AL,32.4610708,-84.9880449,Georgia,GA,Muscogee County,13215
A,Agilent Technologies,CA,37.3541132,-121.955174,California,CA,Santa Clara County,06085
APD,Air Products,NJ,40.5735876,-75.614631,Pennsylvania,PA,Lehigh County,42077
ABNB,Airbnb,CA,37.7932754,-122.3963589,California,CA,San Francisco County,06075
AKAM,Akamai Technologies,MA,42.3656347,-71.1040018,Massachusetts,MA,Middlesex County,25017
ALB,Albemarle Corporation,SC,35.2272086,-80.8430827,North Carolina,NC,Mecklenburg County,37119
ARE,Alexandria Real Estate Equities,CA,34.1476507,-118.144155,California,CA,Los Angeles County,06037
ALGN,Align Technology,AZ,33.4255117,-111.940016,Arizona,AZ,Maricopa County,04013
ALLE,Allegion,KY,38.4168505,-86.9969385,Indiana,IN,Dubois County,18037
LNT,Alliant Energy,WI,43.07469,-89.3841663,Wisconsin,WI,Dane County,55025
ALL,Allstate,WI,42.128704,-87.8265089,Illinois,IL,Cook County,17031
GOOGL,Alphabet Inc. (Class A),CA,37.3893889,-122.0832101,California,CA,Santa Clara County,06085
GOOG,Alphabet Inc. (Class C),CA,37.3893889,-122.0832101,California,CA,Santa Clara County,06085
MO,Altria,VA,37.5385087,-77.43428,Virginia,VA,Richmond city,51760
AMZN,Amazon,WA,47.6038321,-122.330062,Washington,WA,King County,53033
AEE,Ameren,MO,38.6280278,-90.1910154,Missouri,MO,St. Louis city,29510
AEP,American Electric Power,OH,39.9622601,-83.0007065,Ohio,OH,Franklin County,39049
AXP,American Express,NJ,40.7127281,-74.0060152,New York,NY,New York County,36061
AIG,American International Group,NJ,40.7127281,-74.0060152,New York,NY,New York County,36061
AMT,American Tower,MA,42.3554334,-71.060511,Massachusetts,MA,Suffolk County,25025
AWK,American Water Works,NJ,39.9448402,-75.1198911,New Jersey,NJ,Camden County,34007
AMP,Ameriprise Financial,MN,44.9772995,-93.2654692,Minnesota,MN,Hennepin County,27053
AME,Ametek,NJ,40.0448306,-75.4388053,Pennsylvania,PA,Chester County,42029
AMGN,Amgen,CA,34.1705609,-118.8375937,California,CA,Ventura County,06111
APH,Amphenol,CT,41.4564233,-72.8239356,Connecticut,CT,New Haven County,09009
ADI,Analog Devices,MA,42.5464828,-71.1736669,Massachusetts,MA,Middlesex County,25017
APA,APA Corporation,LA,29.7589382,-95.3676974,Texas,TX,Harris County,48201
APO,Apollo Global Management,NJ,40.7127281,-74.0060152,New York,NY,New York County,36061
AAPL,Apple Inc.,CA,37.3228934,-122.0322895,California,CA,Santa Clara County,06085
AMAT,Applied Materials,CA,37.3541132,-121.955174,California,CA,Santa Clara County,06085
APTV,Aptiv,KY,38.4168505,-86.9969385,Indiana,IN,Dubois County,18037
ACGL,Arch Capital Group,NC,35.9983557,-80.4341153,North Carolina,NC,Davie County,37059
ADM,Archer Daniels Midland,IL,41.8755616,-87.6244212,Illinois,IL,Cook County,17031
ANET,Arista Networks,CA,37.3541132,-121.955174,California,CA,Santa Clara County,06085
AJG,Arthur J. Gallagher & Co.,IL,42.0841936,-88.0131275,Illinois,IL,Cook County,17031
AIZ,Assurant,GA,33.7544657,-84.3898151,Georgia,GA,Fulton County,13121
T,AT&T,TX,32.7762719,-96.7968559,Texas,TX,Dallas County,48113
ATO,Atmos Energy,TX,32.7762719,-96.7968559,Texas,TX,Dallas County,48113
ADSK,Autodesk,CA,37.7932754,-122.3963589,California,CA,San Francisco County,06075
ADP,Automatic Data Processing,NJ,40.8206555,-74.2937595,New Jersey,NJ,Essex County,34013
AZO,AutoZone,AR,35.1460249,-90.0517638,Tennessee,TN,Shelby County,47157
AVB,AvalonBay Communities,DC,38.8769326,-77.0893094,Virginia,VA,Arlington County,51013
AVY,Avery Dennison,OH,41.6664781,-81.3399769,Ohio,OH,Lake County,39085
AXON,Axon Enterprise,AZ,33.4942189,-111.926018,Arizona,AZ,Maricopa County,04013
BKR,Baker Hughes,LA,29.7589382,-95.3676974,Texas,TX,Harris County,48201
