ticker,company,lat,lon,lat_round,lon_round
MMM,3M,44.9497487,-93.0931028,44.95,-93.09
AOS,A. O. Smith,43.0386475,-87.9090751,43.04,-87.91
ABT,Abbott Laboratories,42.327724,-87.8394189,42.33,-87.84
ABBV,AbbVie,42.327724,-87.8394189,42.33,-87.84
ACN,Accenture,38.4168505,-86.9969385,38.42,-87.0
ADBE,Adobe Inc.,37.3361663,-121.890591,37.34,-121.89
AMD,Advanced Micro Devices,37.3541132,-121.955174,37.35,-121.96
AES,AES Corporation,38.8769326,-77.0893094,38.88,-77.09
AFL,Aflac,32.4610708,-84.9880449,32.46,-84.99
A,Agilent Technologies,37.3541132,-121.955174,37.35,-121.96
APD,Air Products,40.5735876,-75.614631,40.57,-75.61
ABNB,Airbnb,37.7932754,-122.3963589,37.79,-122.4
AKAM,Akamai Technologies,42.3656347,-71.1040018,42.37,-71.1
ALB,Albemarle Corporation,35.2272086,-80.8430827,35.23,-80.84
ARE,Alexandria Real Estate Equities,34.1476507,-118.144155,34.15,-118.14
ALGN,Align Technology,33.4255117,-111.940016,33.43,-111.94
ALLE,Allegion,38.4168505,-86.9969385,38.42,-87.0
LNT,Alliant Energy,43.07469,-89.3841663,43.07,-89.38
ALL,Allstate,42.128704,-87.8265089,42.13,-87.83
GOOGL,Alphabet Inc. (Class A),37.3893889,-122.0832101,37.39,-122.08
GOOG,Alphabet Inc. (Class C),37.3893889,-122.0832101,37.39,-122.08
MO,Altria,37.5385087,-77.43428,37.54,-77.43
AMZN,Amazon,47.6038321,-122.330062,47.6,-122.33
AEE,Ameren,38.6280278,-90.1910154,38.63,-90.19
AEP,American Electric Power,39.9622601,-83.0007065,39.96,-83.0
AXP,American Express,40.7127281,-74.0060152,40.71,-74.01
AIG,American International Group,40.7127281,-74.0060152,40.71,-74.01
AMT,American Tower,42.3554334,-71.060511,42.36,-71.06
AWK,American Water Works,39.9448402,-75.1198911,39.94,-75.12
AMP,Ameriprise Financial,44.9772995,-93.2654692,44.98,-93.27
AME,Ametek,40.0448306,-75.4388053,40.04,-75.44
AMGN,Amgen,34.1705609,-118.8375937,34.17,-118.84
APH,Amphenol,41.4564233,-72.8239356,41.46,-72.82
ADI,Analog Devices,42.5464828,-71.1736669,42.55,-71.17
APA,APA Corporation,29.7589382,-95.3676974,29.76,-95.37
APO,Apollo Global Management,40.7127281,-74.0060152,40.71,-74.01
AAPL,Apple Inc.,37.3228934,-122.0322895,37.32,-122.03
AMAT,Applied Materials,37.3541132,-121.955174,37.35,-121.96
APTV,Aptiv,38.4168505,-86.9969385,38.42,-87.0
ACGL,Arch Capital Group,35.9983557,-80.4341153,36.0,-80.43
ADM,Archer Daniels Midland,41.8755616,-87.6244212,41.88,-87.62
ANET,Arista Networks,37.3541132,-121.955174,37.35,-121.96
AJG,Arthur J. Gallagher & Co.,42.0841936,-88.0131275,42.08,-88.01
AIZ,Assurant,33.7544657,-84.3898151,33.75,-84.39
T,AT&T,32.7762719,-96.7968559,32.78,-96.8
ATO,Atmos Energy,32.7762719,-96.7968559,32.78,-96.8
ADSK,Autodesk,37.7932754,-122.3963589,37.79,-122.4
ADP,Automatic Data Processing,40.8206555,-74.2937595,40.82,-74.29
AZO,AutoZone,35.1460249,-90.0517638,35.15,-90.05
AVB,AvalonBay Communities,38.8769326,-77.0893094,38.88,-77.09
AVY,Avery Dennison,41.6664781,-81.3399769,41.67,-81.34
AXON,Axon Enterprise,33.4942189,-111.926018,33.49,-111.93
BKR,Baker Hughes,29.7589382,-95.3676974,29.76,-95.37
BALL,Ball Corporation,39.9403995,-105.05208,39.94,-105.05
BAC,Bank of America,35.2272086,-80.8430827,35.23,-80.84
BAX,Baxter International,42.1711365,-87.8445119,42.17,-87.84
BDX,Becton Dickinson,41.0167639,-74.2057012,41.02,-74.21
BRK.B,Berkshire Hathaway,41.2587459,-95.9383758,41.26,-95.94
BBY,Best Buy,44.8766431,-93.2877877,44.88,-93.29
TECH,Bio-Techne,44.9772995,-93.2654692,44.98,-93.27
BIIB,Biogen,42.3656347,-71.1040018,42.37,-71.1
BLK,BlackRock,40.7127281,-74.0060152,40.71,-74.01
BX,Blackstone Inc.,40.7127281,-74.0060152,40.71,-74.01
XYZ,"Block, Inc.",32.2527963,-101.4752803,32.25,-101.48
BK,BNY Mellon,40.7127281,-74.0060152,40.71,-74.01
BA,Boeing,38.8769326,-77.0893094,38.88,-77.09
BKNG,Booking Holdings,41.1175966,-73.4078968,41.12,-73.41
BSX,Boston Scientific,42.3468589,-71.5525188,42.35,-71.55
BMY,Bristol Myers Squibb,40.7127281,-74.0060152,40.71,-74.01
AVGO,Broadcom,37.4443293,-122.1598465,37.44,-122.16
BR,Broadridge Financial Solutions,40.7706572,-73.7176312,40.77,-73.72
BRO,Brown & Brown,29.2108147,-81.0228331,29.21,-81.02
BF.B,Brown–Forman,38.2542376,-85.759407,38.25,-85.76
BLDR,Builders FirstSource,32.8295183,-96.9442177,32.83,-96.94
BG,Bunge Global,38.661953,-90.5643258,38.66,-90.56
BXP,"BXP, Inc.",42.3554334,-71.060511,42.36,-71.06
CHRW,C.H. Robinson,44.8546856,-93.470786,44.85,-93.47
CDNS,Cadence Design Systems,37.3361663,-121.890591,37.34,-121.89
CZR,Caesars Entertainment,39.5261788,-119.812658,39.53,-119.81
CPT,Camden Property Trust,29.7589382,-95.3676974,29.76,-95.37
CPB,Campbell's Company (The),39.9448402,-75.1198911,39.94,-75.12
COF,Capital One,38.9191272,-77.2229636,38.92,-77.22
CAH,Cardinal Health,40.0996009,-83.1135563,40.1,-83.11
KMX,CarMax,37.5385087,-77.43428,37.54,-77.43
CCL,Carnival,25.7741566,-80.1935973,25.77,-80.19
CARR,Carrier Global,26.8233946,-80.1386547,26.82,-80.14
CAT,Caterpillar Inc.,32.8295183,-96.9442177,32.83,-96.94
CBOE,Cboe Global Markets,41.8755616,-87.6244212,41.88,-87.62
CBRE,CBRE Group,32.7762719,-96.7968559,32.78,-96.8
CDW,CDW Corporation,42.2373152,-87.9649487,42.24,-87.96
COR,Cencora,40.0792766,-75.3015714,40.08,-75.3
CNC,Centene Corporation,38.6280278,-90.1910154,38.63,-90.19
CNP,CenterPoint Energy,29.7589382,-95.3676974,29.76,-95.37
CF,CF Industries,42.1711365,-87.8445119,42.17,-87.84
CRL,Charles River Laboratories,42.5464828,-71.1736669,42.55,-71.17
SCHW,Charles Schwab Corporation,32.991226,-97.1943701,32.99,-97.19
CHTR,Charter Communications,41.0534302,-73.5387341,41.05,-73.54
CVX,Chevron Corporation,37.7648021,-121.9544387,37.76,-121.95
CMG,Chipotle Mexican Grill,33.6170092,-117.9294401,33.62,-117.93
CHD,Church & Dwight,40.2688105,-74.8006895,40.27,-74.8
CI,Cigna,41.8313002,-72.7370265,41.83,-72.74
CINF,Cincinnati Financial,39.7886111,-82.6418883,39.79,-82.64
CTAS,Cintas,39.3600586,-84.309939,39.36,-84.31
CSCO,Cisco,37.3361663,-121.890591,37.34,-121.89
C,Citigroup,40.7127281,-74.0060152,40.71,-74.01
CFG,Citizens Financial Group,41.8239891,-71.4128343,41.82,-71.41
CLX,Clorox,37.8044557,-122.271356,37.8,-122.27
CME,CME Group,41.8755616,-87.6244212,41.88,-87.62
CMS,CMS Energy,42.2416466,-84.425589,42.24,-84.43
KO,Coca-Cola Company (The),33.7544657,-84.3898151,33.75,-84.39
CTSH,Cognizant,40.8860164,-74.0072568,40.89,-74.01
COIN,Coinbase,40.7127281,-74.0060152,40.71,-74.01
CL,Colgate-Palmolive,40.7127281,-74.0060152,40.71,-74.01
CMCSA,Comcast,39.9527237,-75.1635262,39.95,-75.16
CAG,Conagra Brands,41.8755616,-87.6244212,41.88,-87.62
COP,ConocoPhillips,29.7589382,-95.3676974,29.76,-95.37
STZ,Constellation Brands,43.157285,-77.615214,43.16,-77.62
CEG,Constellation Energy,39.2908816,-76.610759,39.29,-76.61
COO,Cooper Companies (The),37.7648021,-121.9544387,37.76,-121.95
