ticker,company,lat,lon,state
MMM,3M,44.9497487,-93.0931028,MN
AOS,A. O. Smith,43.0386475,-87.9090751,WI
ABT,Abbott Laboratories,42.327724,-87.8394189,WI
ABBV,AbbVie,42.327724,-87.8394189,WI
ACN,Accenture,38.4168505,-86.9969385,KY
ADBE,Adobe Inc.,37.3361663,-121.890591,CA
AMD,Advanced Micro Devices,37.3541132,-121.955174,CA
AES,AES Corporation,38.8769326,-77.0893094,DC
AFL,Aflac,32.4610708,-84.9880449,AL
A,Agilent Technologies,37.3541132,-121.955174,CA
APD,Air Products,40.5735876,-75.614631,NJ
ABNB,Airbnb,37.7932754,-122.3963589,CA
AKAM,Akamai Technologies,42.3656347,-71.1040018,MA
ALB,Albemarle Corporation,35.2272086,-80.8430827,SC
ARE,Alexandria Real Estate Equities,34.1476507,-118.144155,CA
ALGN,Align Technology,33.4255117,-111.940016,AZ
ALLE,Allegion,38.4168505,-86.9969385,KY
LNT,Alliant Energy,43.07469,-89.3841663,WI
ALL,Allstate,42.128704,-87.8265089,WI
GOOGL,Alphabet Inc. (Class A),37.3893889,-122.0832101,CA
GOOG,Alphabet Inc. (Class C),37.3893889,-122.0832101,CA
MO,Altria,37.5385087,-77.43428,VA
AMZN,Amazon,47.6038321,-122.330062,WA
AEE,Ameren,38.6280278,-90.1910154,MO
AEP,American Electric Power,39.9622601,-83.0007065,OH
AXP,American Express,40.7127281,-74.0060152,NJ
AIG,American International Group,40.7127281,-74.0060152,NJ
AMT,American Tower,42.3554334,-71.060511,MA
AWK,American Water Works,39.9448402,-75.1198911,NJ
AMP,Ameriprise Financial,44.9772995,-93.2654692,MN
AME,Ametek,40.0448306,-75.4388053,NJ
AMGN,Amgen,34.1705609,-118.8375937,CA
APH,Amphenol,41.4564233,-72.8239356,CT
ADI,Analog Devices,42.5464828,-71.1736669,MA
APA,APA Corporation,29.7589382,-95.3676974,LA
APO,Apollo Global Management,40.7127281,-74.0060152,NJ
AAPL,Apple Inc.,37.3228934,-122.0322895,CA
AMAT,Applied Materials,37.3541132,-121.955174,CA
APTV,Aptiv,38.4168505,-86.9969385,KY
ACGL,Arch Capital Group,35.9983557,-80.4341153,NC
ADM,Archer Daniels Midland,41.8755616,-87.6244212,IL
ANET,Arista Networks,37.3541132,-121.955174,CA
AJG,Arthur J. Gallagher & Co.,42.0841936,-88.0131275,IL
AIZ,Assurant,33.7544657,-84.3898151,GA
T,AT&T,32.7762719,-96.7968559,TX
ATO,Atmos Energy,32.7762719,-96.7968559,TX
ADSK,Autodesk,37.7932754,-122.3963589,CA
ADP,Automatic Data Processing,40.8206555,-74.2937595,NJ
AZO,AutoZone,35.1460249,-90.0517638,AR
AVB,AvalonBay Communities,38.8769326,-77.0893094,DC
AVY,Avery Dennison,41.6664781,-81.3399769,OH
AXON,Axon Enterprise,33.4942189,-111.926018,AZ
BKR,Baker Hughes,29.7589382,-95.3676974,LA
BALL,Ball Corporation,39.9403995,-105.05208,CO
BAC,Bank of America,35.2272086,-80.8430827,SC
BAX,Baxter International,42.1711365,-87.8445119,WI
BDX,Becton Dickinson,41.0167639,-74.2057012,NJ
BRK.B,Berkshire Hathaway,41.2587459,-95.9383758,IA
BBY,Best Buy,44.8766431,-93.2877877,MN
TECH,Bio-Techne,44.9772995,-93.2654692,MN
BIIB,Biogen,42.3656347,-71.1040018,MA
BLK,BlackRock,40.7127281,-74.0060152,NJ
BX,Blackstone Inc.,40.7127281,-74.0060152,NJ
XYZ,"Block, Inc.",32.2527963,-101.4752803,TX
BK,BNY Mellon,40.7127281,-74.0060152,NJ
BA,Boeing,38.8769326,-77.0893094,DC
BKNG,Booking Holdings,41.1175966,-73.4078968,CT
BSX,Boston Scientific,42.3468589,-71.5525188,MA
BMY,Bristol Myers Squibb,40.7127281,-74.0060152,NJ
AVGO,Broadcom,37.4443293,-122.1598465,CA
BR,Broadridge Financial Solutions,40.7706572,-73.7176312,NJ
BRO,Brown & Brown,29.2108147,-81.0228331,FL
BF.B,Brown–Forman,38.2542376,-85.759407,KY
BLDR,Builders FirstSource,32.8295183,-96.9442177,TX
BG,Bunge Global,38.661953,-90.5643258,MO
BXP,"BXP, Inc.",42.3554334,-71.060511,MA
CHRW,C.H. Robinson,44.8546856,-93.470786,MN
CDNS,Cadence Design Systems,37.3361663,-121.890591,CA
CZR,Caesars Entertainment,39.5261788,-119.812658,NV
CPT,Camden Property Trust,29.7589382,-95.3676974,LA
CPB,Campbell's Company (The),39.9448402,-75.1198911,NJ
COF,Capital One,38.9191272,-77.2229636,DC
CAH,Cardinal Health,40.0996009,-83.1135563,OH
KMX,CarMax,37.5385087,-77.43428,VA
CCL,Carnival,25.7741566,-80.1935973,FL
CARR,Carrier Global,26.8233946,-80.1386547,FL
CAT,Caterpillar Inc.,32.8295183,-96.9442177,TX
CBOE,Cboe Global Markets,41.8755616,-87.6244212,IL
CBRE,CBRE Group,32.7762719,-96.7968559,TX
CDW,CDW Corporation,42.2373152,-87.9649487,WI
COR,Cencora,40.0792766,-75.3015714,NJ
CNC,Centene Corporation,38.6280278,-90.1910154,MO
CNP,CenterPoint Energy,29.7589382,-95.3676974,LA
CF,CF Industries,42.1711365,-87.8445119,WI
CRL,Charles River Laboratories,42.5464828,-71.1736669,MA
SCHW,Charles Schwab Corporation,32.991226,-97.1943701,OK
CHTR,Charter Communications,41.0534302,-73.5387341,CT
CVX,Chevron Corporation,37.7648021,-121.9544387,CA
CMG,Chipotle Mexican Grill,33.6170092,-117.9294401,CA
CHD,Church & Dwight,40.2688105,-74.8006895,NJ
CI,Cigna,41.8313002,-72.7370265,CT
CINF,Cincinnati Financial,39.7886111,-82.6418883,OH
CTAS,Cintas,39.3600586,-84.309939,OH
CSCO,Cisco,37.3361663,-121.890591,CA
C,Citigroup,40.7127281,-74.0060152,NJ
CFG,Citizens Financial Group,41.8239891,-71.4128343,RI
CLX,Clorox,37.8044557,-122.271356,CA
CME,CME Group,41.8755616,-87.6244212,IL
CMS,CMS Energy,42.2416466,-84.425589,IN
KO,Coca-Cola Company (The),33.7544657,-84.3898151,GA
CTSH,Cognizant,40.8860164,-74.0072568,NJ
COIN,Coinbase,40.7127281,-74.0060152,NJ
CL,Colgate-Palmolive,40.7127281,-74.0060152,NJ
CMCSA,Comcast,39.9527237,-75.1635262,NJ
CAG,Conagra Brands,41.8755616,-87.6244212,IL
COP,ConocoPhillips,29.7589382,-95.3676974,LA
STZ,Constellation Brands,43.157285,-77.615214,PA
CEG,Constellation Energy,39.2908816,-76.610759,MD
COO,Cooper Companies (The),37.7648021,-121.9544387,CA
CPRT,Copart,32.7762719,-96.7968559,TX
GLW,Corning Inc.,42.1435257,-77.0543408,PA
CPAY,Corpay,33.7544657,-84.3898151,GA
CTVA,Corteva,39.7683331,-86.1583502,IN
CSGP,CoStar Group,38.8950368,-77.0365427,DC
COST,Costco,47.5348778,-122.043297,WA
CTRA,Coterra,29.7589382,-95.3676974,LA
CRWD,CrowdStrike,30.2711286,-97.7436995,TX
CCI,Crown Castle,29.7589382,-95.3676974,LA
CSX,CSX Corporation,30.3321838,-81.655651,GA
CMI,Cummins,39.2014405,-85.9213796,IN
CVS,CVS Health,42.0028761,-71.5147839,MA
DHR,Danaher Corporation,38.8950368,-77.0365427,DC
DRI,Darden Restaurants,28.5421218,-81.379045,FL
DDOG,Datadog,40.7127281,-74.0060152,NJ
DVA,DaVita,39.7392364,-104.984862,CO
DAY,Dayforce,44.9772995,-93.2654692,MN
DECK,Deckers Brands,34.4358295,-119.8276389,CA
DE,Deere & Company,41.5058344,-90.5136642,IL
DELL,Dell Technologies,30.5085915,-97.6788056,TX
DAL,Delta Air Lines,33.7544657,-84.3898151,GA
DVN,Devon Energy,35.4729886,-97.5170536,OK
DXCM,Dexcom,32.7174202,-117.162772,CA
FANG,Diamondback Energy,31.83688,-102.0103767,TX
DG,Dollar General,36.3231067,-86.7133302,TN
DLTR,Dollar Tree,36.7168315,-76.2494453,VA
D,Dominion Energy,37.5385087,-77.43428,VA
DASH,DoorDash,37.7932754,-122.3963589,CA
DOV,Dover Corporation,41.7936822,-88.0102281,IL
DHI,D. R. Horton,32.7355816,-97.1071186,TX
DTE,DTE Energy,42.3315509,-83.0466403,OH
DUK,Duke Energy,35.2272086,-80.8430827,SC
EMN,Eastman Chemical Company,36.550238,-82.5594293,KY
ETN,Eaton Corporation,38.4168505,-86.9969385,KY
EBAY,eBay Inc.,37.3361663,-121.890591,CA
ECL,Ecolab,44.9497487,-93.0931028,MN
EIX,Edison International,34.0676169,-118.0879763,CA
EW,Edwards Lifesciences,33.6856969,-117.825981,CA
ELV,Elevance Health,39.7683331,-86.1583502,IN
EMR,Emerson Electric,38.744707,-90.3038975,MO
ENPH,Enphase Energy,37.5482697,-121.988571,CA
ETR,Entergy,29.9559145,-90.0730259,LA
EOG,EOG Resources,29.7589382,-95.3676974,LA
EPAM,EPAM Systems,40.2294046,-74.9365329,NJ
EQT,EQT Corporation,40.4416941,-79.9900861,WV
EFX,Equifax,33.7544657,-84.3898151,GA
EQIX,Equinix,37.4863239,-122.232523,CA
EQR,Equity Residential,41.8755616,-87.6244212,IL
ERIE,Erie Indemnity,42.1294712,-80.0852695,PA
ESS,Essex Property Trust,37.496904,-122.3330573,CA
EL,Estée Lauder Companies (The),40.7127281,-74.0060152,NJ
EG,Everest Group,35.9983557,-80.4341153,NC
EVRG,Evergy,39.100105,-94.5781416,MO
ES,Eversource Energy,41.764582,-72.6908547,CT
EXC,Exelon,41.8755616,-87.6244212,IL
EXE,Expand Energy,35.4729886,-97.5170536,OK
EXPE,Expedia Group,47.6038321,-122.330062,WA
EXPD,Expeditors International,47.6038321,-122.330062,WA
EXR,Extra Space Storage,40.7596198,-111.886797,UT
XOM,ExxonMobil,32.8295183,-96.9442177,TX
FFIV,"F5, Inc.",47.6038321,-122.330062,WA
FDS,FactSet,41.1175966,-73.4078968,CT
FICO,Fair Isaac,45.6794293,-111.044047,MT
FAST,Fastenal,44.0500054,-91.6392294,WI
FRT,Federal Realty Investment Trust,39.0817985,-77.1516844,DC
FDX,FedEx,35.1460249,-90.0517638,AR
FIS,Fidelity National Information Services,30.3321838,-81.655651,GA
FITB,Fifth Third Bancorp,39.1014537,-84.5124602,KY
FSLR,First Solar,33.4255117,-111.940016,AZ
FE,FirstEnergy,41.083064,-81.518485,OH
FI,Fiserv,43.0615578,-88.1260678,WI
F,Ford Motor Company,42.3222599,-83.1763145,OH
FTNT,Fortinet,37.3688301,-122.036349,CA
FTV,Fortive,47.9793437,-122.2127011,WA
FOXA,Fox Corporation (Class A),40.7127281,-74.0060152,NJ
FOX,Fox Corporation (Class B),40.7127281,-74.0060152,NJ
BEN,Franklin Resources,37.496904,-122.3330573,CA
FCX,Freeport-McMoRan,33.4484367,-112.074141,AZ
IT,Gartner,41.0534302,-73.5387341,CT
GE,GE Aerospace,39.2561691,-84.417997,KY
GEHC,GE HealthCare,41.8755616,-87.6244212,IL
GEV,GE Vernova,42.3656347,-71.1040018,MA
GEN,Gen Digital,33.4255117,-111.940016,AZ
GNRC,Generac,43.0622536,-88.3123889,WI
GD,General Dynamics,38.882334,-77.1710914,DC
GIS,General Mills,44.9861176,-93.3784618,MN
GM,General Motors,42.3315509,-83.0466403,OH
GPC,Genuine Parts Company,33.7544657,-84.3898151,GA
GILD,Gilead Sciences,37.5600336,-122.2688522,CA
GPN,Global Payments,33.7544657,-84.3898151,GA
GL,Globe Life,33.1976496,-96.6154471,OK
GDDY,GoDaddy,33.4255117,-111.940016,AZ
GS,Goldman Sachs,40.7127281,-74.0060152,NJ
HAL,Halliburton,29.7589382,-95.3676974,LA
HIG,Hartford (The),41.764582,-72.6908547,CT
HAS,Hasbro,41.8789531,-71.3821203,RI
HCA,HCA Healthcare,36.1622767,-86.7742984,TN
DOC,Healthpeak Properties,39.7392364,-104.984862,CO
HSIC,Henry Schein,40.7835914,-73.4075575,CT
HSY,Hershey Company (The),40.2850285,-76.6534662,PA
HPE,Hewlett Packard Enterprise,29.7589382,-95.3676974,LA
HLT,Hilton Worldwide,38.9191272,-77.2229636,DC
HOLX,Hologic,42.3468589,-71.5525188,MA
HD,Home Depot (The),33.7544657,-84.3898151,GA
HON,Honeywell,35.2272086,-80.8430827,SC
HRL,Hormel Foods,43.6679992,-92.9746498,IA
HST,Host Hotels & Resorts,38.9812726,-77.1233587,DC
HWM,Howmet Aerospace,40.4416941,-79.9900861,WV
HPQ,HP Inc.,37.4443293,-122.1598465,CA
HUBB,Hubbell Incorporated,41.3546999,-73.1383092,CT
HUM,Humana,38.2542376,-85.759407,KY
